13.2315 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
76.9483 	EXP 	text: autoDraw = False
76.9483 	EXP 	text: height = 0.05000000000000001
76.9483 	EXP 	text: height = 0.05000000000000001
76.9483 	EXP 	text: height = 0.05000000000000001
76.9483 	EXP 	text: text = 'GBP 15 today or GBP 35 after  13 days '
76.9483 	EXP 	fixation: autoDraw = True
77.9478 	EXP 	fixation: autoDraw = False
77.9478 	EXP 	text: autoDraw = True
79.7502 	DATA 	Keypress: l
79.7642 	EXP 	fixation: autoDraw = False
79.7642 	EXP 	text: autoDraw = False
80.0063 	EXP 	window1: mouseVisible = True
